Customer_ID,First_Name,Last_Name,Email,Phone,Gender,DOB,Address,City,State,Country,Postal_Code,Registration_Date,Customer_Segment
CUST629542,Joshua,Young,erichamilton@example.com,4842554057,Other,1961-07-11,"813 Davis Gateway Suite 382, Thompsonton, PW 61745",New Matthewville,Oregon,Timor-Leste,67258,2023-10-21,Retail
CUST882618,April,Thomas,ashley31@example.com,313.837.4401,Other,1974-03-18,"5603 Mcdonald Flats Suite 898, Hannahmouth, ME 68066",Crystalfurt,Colorado,Mexico,93792,2023-06-17,SMB
CUST046484,Anthony,Russo,catherineshah@example.org,001-629-765-7473x7287,Female,1996-07-15,"USCGC Miller, FPO AP 05387",Piercefort,Wisconsin,Gabon,17894,2023-08-14,Retail
CUST112484,James,Ward,kellyreid@example.org,303.207.6376x82438,Female,1990-03-19,"5492 Stephanie Groves Suite 708, North Corybury, OR 73938",Lake Rebecca,Indiana,Libyan Arab Jamahiriya,41598,2022-07-24,Retail
CUST979467,Sherry,Davis,nicholasriggs@example.org,+1-434-579-0720x497,Female,1967-07-30,"20812 Lisa Spurs Apt. 846, Janetshire, SD 17456",Lake Aliciaview,New Jersey,Belarus,17612,2022-07-18,SMB
CUST922482,Kathryn,Escobar,jacksonsteven@example.com,(577)653-8347,Male,1995-10-20,"96832 Scott Extensions Apt. 279, East Leslie, SD 52641",Christinetown,Virginia,Ecuador,57396,2021-08-07,SMB
CUST364893,Carol,George,estradajasmine@example.net,(320)733-5208x611,Other,1968-12-08,"63853 Giles Isle, Yolandaberg, NM 02617",Port Michaelchester,Utah,Cameroon,76045,2021-12-23,Corporate
CUST330462,Amber,Wheeler,dannywaters@example.net,696-309-6241x9174,Female,1967-04-18,"648 Carson Valley, Anthonystad, TX 84807",Port Anthony,New Mexico,Rwanda,85295,2023-10-18,Retail
CUST824460,Richard,Donovan,pricejennifer@example.com,6152045374,Other,1996-10-12,"89513 Carlson Way Apt. 958, Tammyview, AK 69518",Stevenfort,Arkansas,Greece,74943,2022-05-23,SMB
CUST633255,Kevin,Stein,carlsonalicia@example.com,528.446.8740x86355,Female,1974-11-26,"94937 Leroy Locks, Port Marcside, AZ 16505",Aguilarbury,Virginia,Sweden,28923,2021-05-01,Retail
CUST817712,Randy,Simmons,cortezcatherine@example.com,607-676-1377x72608,Male,1993-05-15,"0489 Tran Row Apt. 225, North Timothyton, SD 31588",Port Lisaberg,Texas,French Southern Territories,08075,2020-07-13,Retail
CUST755490,Carolyn,Parker,hallcindy@example.org,001-846-932-4235,Other,1957-03-19,"Unit 6009 Box 4219, DPO AE 13750",Madisonville,Georgia,Azerbaijan,27246,2021-12-06,Retail
